"Table 1.  Overview of 60 studies (1985–2023) included in the comprehensive review and meta-analysis of Hg levels in controls and cases as follows:  25 studies (1985–2023)  included  in  the  systematic  review  and  meta-analysis  of  Hg  levels  in  hair  (µg/g),  15  studies  (2004–2023)  included  in  the  systematic  review  and meta-analysis of Hg levels in whole blood (µg/L), 6 studies (2011–2020) included in the systematic review and meta-analysis of Hg levels in plasma (µg/L), 5 studies (2010–2017) included in the comprehensive review and meta-analysis of Hg levels in red blood cells (RBCs) (µg/L), and 9 studies (2003–2020) included in the comprehensive review and meta-analysis of Hg levels in urine (µg/g creatine).",,,,,,,,,
,Study,Country,Sample Size Controls/CaseS,Age Controls/Cases,Gender (Fem/Male) Controls/Cases,Biological Material,Analytical Technique,Mercury Level (Mean ± SD) Controls/Cases,
Hair,,,,,,,,µg/g,
1.,"Al-Ayadhi, 2005 [65]",Saudi Arabia,80/65,7.2 ± 0.7/9.0 ± 0.3,not specified; 4/61,Hair,AAS,0.713 ± 0.228/4.204 ± 1.129,
2.,"Aljumaili et al., 2021 [66]",Iraq,20/75,3–14/3–14,not specified,Hair,AAS,1.25 ± 0.66/3.44 ± 2.93,
3.,"Blaurock-Bush et al., 2011 [67]",Saudi Arabia,25/25,6.25 ± 2.31/5.29 ± 1.90,6/19; 3/22,Hair,ICP-MS,0.30 ± 0.31/0.47 ± 0.42,
4.,"Mohamed et al., 2015 [68]",Egypt,100/100,6.80 ± 3.04/6.20 ± 2.40,26/74; 16/84,Hair,AAS,0.25 ± 0.16/0.39 ± 0.37,
5.,"Ouisselsat et al., 2023 [69]",Morrocco,120/107,6.68 ± 2.39/7.14 ± 2.47,36/84; 25/82,Hair,ICP-MS,0.193 ± 0.13/0.200 ± 0.12,
6.,"Skalny et al., 2017 [70]",Russia,74/74,5.11 ± 2.34/5.12 ± 2.36,not specified,Hair,ICP-MS,0.167 ± 0.077/0.127 ± 0.049,
7.,"Tinkov et al., 2019 [71]",Russia,30/30,4.8 ± 2.2/4.7 ± 2.1,not specified,Hair,ICP-MS,0.077 ± 0.039/0.229 ± 0.072,
8.,"Zhai et al., 2019 [72]",China,58/78,4.90 ± 0.97/4.96 ± 1.01,27/31; 22/56,Hair,ICP-MS,0.26 ± 0.13/0.41 ± 0.25,
9.,"Adams et al., 2006 [73]",USA,40/51,7.5 ± 3.0/7.1 ± 3.0,10/30; 12/39,Hair,ICP-MS,0.29 ± 0.35/0.29 ± 0.41,
10.,"De Palma et al., 2012 [74]",Italy,61/44,8.4 ± 1.3/9.0 ± 4.0,25/36; 7/37,Hair,ICP-MS,0.25 ± 0.11/0.50 ± 0.14,
11.,"El-Baz et al., 2010 [75]",Egypt,15/32,5.53 ± 2.75/6.75 ± 3.26,6/9; 10/22,Hair,AAS,0.12 ± 0.019/0.79 ± 0.51,
12.,"Gil-Hernandez et al., 2020 [76]",Spain,54/54,Not specified,not specified,Hair,AAS,13.00 ± 12.68/8.26 ± 10.57,
13.,"Ip et al., 2004 [77]",Japan,55/82,7.8 ± 0.4/7.0 ± 0.2,9/46; 9/73,Hair,AAS,1.92 ± 1.58/1.98 ± 1.05,
14.,"Nabgha-e-Amen et al., 2020 [78]",Pakistan,76/90,3–11/3–11,22/54; 20/70,Hair,ICP-MS,1.0 ± 0.26/1.3 ± 0.4,
15.,"Wecker et al., 1985 [79]",USA,22/12,4.3 ± 2.6/5.67 ± 0.69,0/22; 0/12,Hair,AAS,15.75 ± 0.35/15.2 ± 0.45,
16.,"Skalny et al., 2017b [80]",Russia,16/16,5–8/5–8,0/16; 0/16,Hair,ICP-MS,0.151 ± 0.134/0.105 ± 0.09,
17.,"Hodgson et al., 2014 [81]",Oman,22/22,5.50 ± 1.00/3.5 ± 1.5,6/9; 7/15,Hair,ICP-MS,6.93 ± 0.36/6.03 ± 0.96,
18.,"Lakshmi and Geetha., 2011 [82]",India,15/50,4–12/4–12,not specified; 20/30,Hair,ICP-MS,0.37 ± 0.04/3.09 ± 0.37,
19.,"Holmes et al., 2003 [83]",USA,45/94,0.7 ± 0.102/0.7 ± 0.325,11/34; 21/73,Hair,ICP-MS,3.63 ± 3.56/0.47 ± 0.28,
20.,"Fido and Al-Saad, 2005 [84]",Kuwait,40/40,4.3 ± 2.67/4.2 ± 2.2,0/40; 0/40,Hair,ICP-MS,0.30 ± 0.24/4.50 ± 3.33,
21.,"Albizzati et al., 2012 [85]",Italy,20/17,10.41 ± 3.05/11.52 ± 3.20,6/14; 2/15,Hair,ICP-MS,0.28 ± 0.08/0.32 ± 0.04,
22.,"Kern et al., 2007 [86]",USA,45/45,3.0 ± 1.4/3.0 ± 1.4,10/35; 10/35,Hair,ICP-MS,0.16 ± 0.10/0.14 ± 0.11,
23.,"Adams et al., 2008 [87]",USA,31/78,1.37 ± 0.42/1.38 ± 0.37,11/21; 11/67,Hair,AFS,0.95 ± 0.87/0.87 ± 2.6,
24.,"Majewska et al., 2010 [88]",Poland,38/55,8.4 ± 0.20/8.1 ± 0.15,19/25; 19/30,Hair,AAS,0.14 ± 0.02/2.1 ± 0.05,
25.,"Elsheshtawy et al., 2011 [89]",Egypt,32/32,4.0 ± 0.8/4.1 ± 0.8,8/24; 8/24,Hair,ICP-MS,3.2 ± 0.2/0.55 ± 0.06,
Whole Blood,,,,,,,,µg/L,
1.,"Adams et al., 2013 [90]",USA,44/55,11.0 ± 3.1/10.0 ± 3.1,5/39; 6/49,Blood,ICP-MS,0.87 ± 0.76/0.75 ± 0.67,
