"By administrative divisions","By age ",2010,2010,2010,2010
"By administrative divisions","By age ",Population (Person),Male (Person),Female (Person),Sex ratio
"Whole country","Total",47990761,23840896,24149865,98.70
"Whole country","0-4 Years old",2219084,1142220,1076864,106.10
"Whole country","5-9 Years old",2394663,1243294,1151369,108.00
"Whole country","10-14 Years old",3173226,1654964,1518262,109.00
"Whole country","15-19 Years old",3438414,1826179,1612235,113.30
"Whole country","20-24 Years old",3055420,1625371,1430049,113.70
"Whole country","25-29 Years old",3538949,1802805,1736144,103.80
"Whole country","30-34 Years old",3695348,1866397,1828951,102.00
"Whole country","35-39 Years old",4099147,2060233,2038914,101.00
"Whole country","40-44 Years old",4131423,2071431,2059992,100.60
"Whole country","45-49 Years old",4073358,2044641,2028717,100.80
"Whole country","50-54 Years old",3798131,1887973,1910158,98.80
"Whole country","55-59 Years old",2766695,1360747,1405948,96.80
"Whole country","60-64 Years old",2182236,1057035,1125201,93.90
"Whole country","65-69 Years old",1812168,833242,978926,85.10
"Whole country","70-74 Years old",1566014,672894,893120,75.30
"Whole country","75-79 Years old",1084367,410726,673641,61.00
"Whole country","80-84 Years old",595509,186008,409501,45.40
"Whole country","85 Years old & over",366609,94736,271873,34.80
"Whole country","14 and under",7786973,4040478,3746495,107.80
"Whole country","15 - 64 Years old",34779121,17602812,17176309,102.50
"Whole country","65 Years old",5424667,2197606,3227061,68.10
"Whole country","Mean age",38.1,36.8,39.3,-
"Whole country","Median age",38.1,37.0,39.3,-
"Eup area","Total",4149215,2086063,2063152,101.10
"Eup area","0-4 Years old",233244,120523,112721,106.90
"Eup area","5-9 Years old",242350,125883,116467,108.10
"Eup area","10-14 Years old",289816,150362,139454,107.80
"Eup area","15-19 Years old",283791,151364,132427,114.30
"Eup area","20-24 Years old",212646,120757,91889,131.40
"Eup area","25-29 Years old",250451,131234,119217,110.10
"Eup area","30-34 Years old",313402,158551,154851,102.40
"Eup area","35-39 Years old",368334,189986,178348,106.50
"Eup area","40-44 Years old",351960,187295,164665,113.70
"Eup area","45-49 Years old",328305,173048,155257,111.50
"Eup area","50-54 Years old",300407,154086,146321,105.30
"Eup area","55-59 Years old",226460,112421,114039,98.60
"Eup area","60-64 Years old",188393,90660,97733,92.80
"Eup area","65-69 Years old",170581,75525,95056,79.50
"Eup area","70-74 Years old",164198,68767,95431,72.10
"Eup area","75-79 Years old",119415,44840,74575,60.10
"Eup area","80-84 Years old",65185,20293,44892,45.20
"Eup area","85 Years old & over",40277,10468,29809,35.10
"Eup area","14 and under",765410,396768,368642,107.60
"Eup area","15 - 64 Years old",2824149,1469402,1354747,108.50
"Eup area","65 Years old",559656,219893,339763,64.70
"Eup area","Mean age",38.4,36.9,40.0,-
"Eup area","Median age",38.4,37.3,39.6,-
"Myeon area","Total",4478173,2195964,2282209,96.20
"Myeon area","0-4 Years old",148288,76071,72217,105.30
"Myeon area","5-9 Years old",159033,83010,76023,109.20
"Myeon area","10-14 Years old",213761,111595,102166,109.20
"Myeon area","15-19 Years old",232342,125983,106359,118.50
"Myeon area","20-24 Years old",202285,121179,81106,149.40
"Myeon area","25-29 Years old",208385,121992,86393,141.20
"Myeon area","30-34 Years old",214308,118725,95583,124.20
"Myeon area","35-39 Years old",247665,137466,110199,124.70
"Myeon area","40-44 Years old",271097,148264,122833,120.70
"Myeon area","45-49 Years old",318496,167735,150761,111.30
"Myeon area","50-54 Years old",366574,184922,181652,101.80
"Myeon area","55-59 Years old",330991,161055,169936,94.80
"Myeon area","60-64 Years old",318224,152541,165683,92.10
"Myeon area","65-69 Years old",334146,145694,188452,77.30
"Myeon area","70-74 Years old",366447,152492,213955,71.30
"Myeon area","75-79 Years old",288385,108686,179699,60.50
"Myeon area","80-84 Years old",159358,51809,107549,48.20
"Myeon area","85 Years old & over",98388,26745,71643,37.30
"Myeon area","14 and under",521082,270676,250406,108.10
"Myeon area","15 - 64 Years old",2710367,1439862,1270505,113.30
"Myeon area","65 Years old",1246724,485426,761298,63.80
"Myeon area","Mean age",47.6,44.7,50.3,-
"Myeon area","Median age",50.3,46.7,53.7,-
"Dong area","Total",39363373,19558869,19804504,98.80
