date, pm25, pm10, o3, no2, so2, co
2026/5/2, 77, 61, 80, 21, 5, 7
2026/5/3, 143, 31, 64, 20, 4, 5
2026/5/4, 79, 26, 48, 21, 5, 5
2026/5/5, 54, 29, 55, 15, 4, 5
2026/5/6, 54, 20, 55, 14, 3, 3
2026/5/7, 38, 24, 40, 20, 4, 3
2026/5/8, 57, 32, 47, 19, 5, 4
2026/5/9, 56, 31, 55, 28, 6, 5
2026/5/10, 59, 29, 73, 24, 5, 4
2026/5/11, 62, 32, 45, 27, 5, 5
2026/5/12, 64, 29, 57, 25, 5, 6
2026/5/13, 68, 26, 49, 31, 6, 5
2026/5/14, 60, 31, 23, 33, 5, 6
2026/5/15, 64, , , , , 
2026/4/2, 114, 68, 61, 30, 6, 6
2026/4/3, 132, 68, 72, 25, 5, 7
2026/4/4, 148, 41, 58, 17, 5, 5
2026/4/5, 82, 44, 60, 15, 5, 6
2026/4/6, 97, 37, 42, 22, 5, 4
2026/4/7, 74, 33, 42, 18, 5, 3
2026/4/8, 54, 35, 53, 26, 5, 4
2026/4/9, 69, 20, 28, 32, 5, 5
2026/4/10, 47, 27, 45, 19, 4, 5
2026/4/11, 65, 48, 61, 20, 4, 6
2026/4/12, 121, 54, 54, 31, 5, 6
2026/4/13, 132, 44, 48, 41, 5, 6
2026/4/14, 73, 67, 89, 45, 7, 7
2026/4/15, 130, 67, 60, 47, 7, 7
2026/4/16, 124, 32, 62, 22, 3, 4
2026/4/17, 60, 50, 47, 30, 5, 4
2026/4/18, 80, 50, 55, 34, 5, 6
2026/4/19, 79, 62, 82, 33, 7, 6
2026/4/20, 100, 78, 39, 24, 5, 4
2026/4/21, 85, 97, 43, 23, 5, 4
2026/4/22, 88, 65, 36, 24, 5, 4
2026/4/23, 70, 36, 46, 18, 4, 4
2026/4/24, 53, 34, 63, 32, 4, 4
2026/4/25, 55, 52, 95, 33, 7, 5
2026/4/26, 91, 45, 78, 26, 6, 5
2026/4/27, 83, 43, 65, 32, 5, 4
