date, pm25, pm10, o3, no2, so2, co
2026/5/2, 55, 37, 86, 16, 6, 5
2026/5/3, 72, 26, 67, 10, 6, 6
2026/5/4, 62, 26, 57, 9, 5, 4
2026/5/5, 42, 29, 62, 14, 4, 4
2026/5/6, 59, 26, 71, 14, 4, 4
2026/5/7, 48, 27, 64, 11, 4, 4
2026/5/8, 53, 35, 48, 9, 4, 4
2026/5/9, 37, 25, 60, 16, 4, 4
2026/5/10, 50, 26, 65, 12, 4, 5
2026/5/11, 54, 25, 55, 13, 5, 5
2026/5/12, 57, 26, 45, 15, 5, 5
2026/5/13, 59, 31, 84, 17, 4, 4
2026/5/14, 71, , 42, 17, 4, 5
2026/5/15, 65, , , , , 
2026/4/2, 80, 32, 61, 20, 5, 6
2026/4/3, 74, 50, 86, 25, 5, 6
2026/4/4, 92, 22, 59, 14, 5, 6
2026/4/5, 57, 26, 54, 13, 5, 6
2026/4/6, 59, 37, 38, 25, 6, 8
2026/4/7, 77, 24, 45, 16, 5, 4
2026/4/8, 41, 29, 55, 18, 5, 4
2026/4/9, 58, 29, 40, 31, 5, 6
2026/4/10, 54, 22, 48, 18, 4, 6
2026/4/11, 47, 26, 66, 12, 5, 5
2026/4/12, 58, 34, 66, 14, 3, 5
2026/4/13, 66, 45, 71, 19, 5, 5
2026/4/14, 70, 41, 52, 11, 5, 5
2026/4/15, 59, 37, 70, 14, 5, 4
2026/4/16, 60, 31, 56, 11, 4, 4
2026/4/17, 51, 34, 39, 21, 5, 5
2026/4/18, 71, 23, 38, 20, 5, 6
2026/4/19, 71, 36, 54, 14, 5, 6
2026/4/20, 70, 32, 45, 15, 5, 5
2026/4/21, 57, 86, 58, 13, 5, 4
2026/4/22, 71, 51, 44, 21, 5, 5
2026/4/23, 61, 43, 54, 17, 5, 4
2026/4/24, 60, 28, 50, 16, 5, 4
2026/4/25, 42, 30, 68, 16, 5, 6
2026/4/26, 59, 31, 53, 14, 5, 4
2026/4/27, 64, 45, 77, 18, 5, 5
2026/4/28, 68, 40, 56, 14, 5, 4
2026/4/29, 59, 27, 54, 12, 5, 4
2026/4/30, 55, 30, 48, 17, 5, 5
2026/5/1, 63, 29, 67, 9, 5, 4
2026/1/2, 52, 19, 25, 13, 4, 6
2026/1/3, 54, 23, 31, 18, 3, 6
2026/1/4, 66, 45, 33, 27, 4, 8
2026/1/5, 107, 24, 32, 18, 4, 6
2026/1/6, 67, 25, 31, 24, 4, 7
2026/1/7, 57, 37, 34, 25, 6, 8
2026/1/8, 75, 22, 29, 15, 4, 6
2026/1/9, 37, 30, 26, 32, 6, 8
2026/1/10, 63, 48, 37, 33, 5, 9
2026/1/11, 71, 17, 30, 7, 4, 6
2026/1/12, 46, 29, 26, 28, 5, 8
2026/1/13, 66, 33, 34, 25, 4, 8
2026/1/14, 69, 28, 29, 29, 5, 7
2026/1/15, 59, 60, 48, 44, 7, 11
2026/1/16, 114, 71, 31, 45, 6, 10
2026/1/17, 141, 61, 42, 36, 4, 10
2026/1/18, 125, 56, 32, 42, 5, 11
2026/1/19, 118, 44, 33, 24, 4, 9
2026/1/20, 92, 22, 30, 15, 4, 6
2026/1/21, 49, 21, 29, 12, 4, 7
2026/1/22, 53, 20, 31, 11, 4, 6
2026/1/23, 49, 32, 34, 20, 4, 7
2026/1/24, 80, 33, 35, 23, 4, 8
2026/1/25, 89, 18, 35, 13, 4, 6
2026/1/26, 50, 29, 27, 32, 5, 8
2026/1/27, 60, 31, 35, 15, 4, 6
