"date","city","city_type","pm25","pm10","o3","no2","so2","co","year"
"2025/10/2","Seoul","Inland",81,31,49,25,4,6,2025
"2025/10/3","Seoul","Inland",71,28,32,12,3,4,2025
"2025/10/4","Seoul","Inland",63,11,35,9,3,3,2025
"2025/10/5","Seoul","Inland",21,10,20,11,3,4,2025
"2025/10/6","Seoul","Inland",17,6,30,5,2,2,2025
"2025/10/7","Seoul","Inland",10,4,31,7,2,2,2025
"2025/10/8","Seoul","Inland",9,10,28,9,2,3,2025
"2025/10/9","Seoul","Inland",17,12,28,7,2,2,2025
"2025/10/10","Seoul","Inland",19,7,21,12,2,3,2025
"2025/10/11","Seoul","Inland",13,13,33,12,3,3,2025
"2025/10/12","Seoul","Inland",26,6,23,7,3,3,2025
"2025/10/13","Seoul","Inland",7,5,32,9,2,2,2025
"2025/10/14","Seoul","Inland",7,4,30,10,2,2,2025
"2025/10/15","Seoul","Inland",10,8,30,14,2,2,2025
"2025/10/16","Seoul","Inland",13,9,26,12,2,3,2025
"2025/10/17","Seoul","Inland",14,13,29,13,2,2,2025
"2025/10/18","Seoul","Inland",18,13,26,9,3,4,2025
"2025/10/19","Seoul","Inland",30,18,30,9,3,4,2025
"2025/10/20","Seoul","Inland",37,24,26,10,3,3,2025
"2025/10/21","Seoul","Inland",46,29,20,16,3,4,2025
"2025/10/22","Seoul","Inland",51,20,26,18,3,4,2025
"2025/10/23","Seoul","Inland",41,11,31,16,3,3,2025
"2025/10/24","Seoul","Inland",18,10,31,17,3,3,2025
"2025/10/25","Seoul","Inland",17,23,35,18,3,4,2025
"2025/10/26","Seoul","Inland",44,42,38,16,4,6,2025
"2025/10/27","Seoul","Inland",87,34,29,9,4,3,2025
"2025/10/28","Seoul","Inland",48,25,27,21,4,4,2025
"2025/10/29","Seoul","Inland",37,31,26,35,4,6,2025
"2025/10/30","Seoul","Inland",65,39,22,39,4,6,2025
"2025/10/31","Seoul","Inland",84,42,39,30,4,6,2025
"2025/11/1","Seoul","Inland",89,25,35,14,3,4,2025
"2025/11/2","Seoul","Inland",62,30,30,9,3,3,2025
"2025/11/3","Seoul","Inland",37,23,18,24,3,5,2025
"2025/11/4","Seoul","Inland",49,29,27,36,4,7,2025
"2025/11/5","Seoul","Inland",60,37,25,38,4,7,2025
"2025/11/6","Seoul","Inland",74,55,26,38,4,8,2025
"2025/11/7","Seoul","Inland",111,53,30,35,4,6,2025
