"city","year","pollutant","category","days"
"Busan",2014,"co","Good",362
"Busan",2014,"no2","Good",288
"Busan",2014,"no2","Moderate",74
"Busan",2014,"o3","Good",272
"Busan",2014,"o3","Moderate",90
"Busan",2014,"pm10","Good",125
"Busan",2014,"pm10","Moderate",221
"Busan",2014,"pm10","Unhealthy for Sensitive Groups",13
"Busan",2014,"pm10","Unhealthy",1
"Busan",2014,"pm10","Very Unhealthy",2
"Busan",2014,"so2","Good",362
"Busan",2015,"co","Good",360
"Busan",2015,"no2","Good",293
"Busan",2015,"no2","Moderate",67
"Busan",2015,"o3","Good",253
"Busan",2015,"o3","Moderate",98
"Busan",2015,"o3","Unhealthy for Sensitive Groups",3
"Busan",2015,"pm10","Good",159
"Busan",2015,"pm10","Moderate",198
"Busan",2015,"pm10","Unhealthy for Sensitive Groups",3
"Busan",2015,"pm25","Good",1
"Busan",2015,"pm25","Moderate",165
"Busan",2015,"pm25","Unhealthy for Sensitive Groups",171
"Busan",2015,"pm25","Unhealthy",20
"Busan",2015,"pm25","Very Unhealthy",2
"Busan",2015,"pm25","Hazardous",1
"Busan",2015,"so2","Good",359
"Busan",2015,"so2","Moderate",1
"Busan",2016,"co","Good",363
"Busan",2016,"no2","Good",281
"Busan",2016,"no2","Moderate",82
"Busan",2016,"o3","Good",272
"Busan",2016,"o3","Moderate",84
"Busan",2016,"o3","Unhealthy for Sensitive Groups",7
"Busan",2016,"pm10","Good",198
"Busan",2016,"pm10","Moderate",161
"Busan",2016,"pm10","Unhealthy for Sensitive Groups",4
"Busan",2016,"pm25","Moderate",165
"Busan",2016,"pm25","Unhealthy for Sensitive Groups",174
"Busan",2016,"pm25","Unhealthy",23
"Busan",2016,"so2","Good",363
"Busan",2017,"co","Good",301
"Busan",2017,"no2","Good",240
"Busan",2017,"no2","Moderate",61
"Busan",2017,"o3","Good",196
"Busan",2017,"o3","Moderate",102
"Busan",2017,"o3","Unhealthy for Sensitive Groups",3
"Busan",2017,"pm10","Good",125
"Busan",2017,"pm10","Moderate",175
"Busan",2017,"pm10","Unhealthy for Sensitive Groups",1
"Busan",2017,"pm25","Good",3
"Busan",2017,"pm25","Moderate",154
"Busan",2017,"pm25","Unhealthy for Sensitive Groups",133
"Busan",2017,"pm25","Unhealthy",11
"Busan",2017,"so2","Good",301
"Busan",2018,"co","Good",362
"Busan",2018,"no2","Good",322
"Busan",2018,"no2","Moderate",40
"Busan",2018,"o3","Good",289
"Busan",2018,"o3","Moderate",66
"Busan",2018,"o3","Unhealthy for Sensitive Groups",7
"Busan",2018,"pm10","Good",202
"Busan",2018,"pm10","Moderate",158
"Busan",2018,"pm10","Unhealthy for Sensitive Groups",2
"Busan",2018,"pm25","Good",8
"Busan",2018,"pm25","Moderate",222
"Busan",2018,"pm25","Unhealthy for Sensitive Groups",120
"Busan",2018,"pm25","Unhealthy",13
"Busan",2018,"so2","Good",362
"Busan",2019,"co","Good",361
"Busan",2019,"no2","Good",338
"Busan",2019,"no2","Moderate",22
"Busan",2019,"o3","Good",277
"Busan",2019,"o3","Moderate",79
"Busan",2019,"o3","Unhealthy for Sensitive Groups",4
"Busan",2019,"pm10","Good",249
"Busan",2019,"pm10","Moderate",111
"Busan",2019,"pm25","Good",17
"Busan",2019,"pm25","Moderate",240
"Busan",2019,"pm25","Unhealthy for Sensitive Groups",95
"Busan",2019,"pm25","Unhealthy",9
"Busan",2019,"so2","Good",361
"Busan",2020,"co","Good",364
"Busan",2020,"no2","Good",357
"Busan",2020,"no2","Moderate",7
"Busan",2020,"o3","Good",294
"Busan",2020,"o3","Moderate",68
"Busan",2020,"o3","Unhealthy for Sensitive Groups",2
"Busan",2020,"pm10","Good",310
"Busan",2020,"pm10","Moderate",54
"Busan",2020,"pm25","Good",38
"Busan",2020,"pm25","Moderate",282
"Busan",2020,"pm25","Unhealthy for Sensitive Groups",42
"Busan",2020,"pm25","Unhealthy",1
"Busan",2020,"so2","Good",364
"Busan",2021,"co","Good",365
"Busan",2021,"no2","Good",363
"Busan",2021,"no2","Moderate",2
"Busan",2021,"o3","Good",290
"Busan",2021,"o3","Moderate",72
"Busan",2021,"o3","Unhealthy for Sensitive Groups",3
"Busan",2021,"pm10","Good",298
"Busan",2021,"pm10","Moderate",64
"Busan",2021,"pm10","Unhealthy for Sensitive Groups",1
"Busan",2021,"pm10","Unhealthy",1
"Busan",2021,"pm10","Hazardous",1
"Busan",2021,"pm25","Good",70
"Busan",2021,"pm25","Moderate",257
"Busan",2021,"pm25","Unhealthy for Sensitive Groups",36
"Busan",2021,"pm25","Unhealthy",2
"Busan",2021,"so2","Good",365
"Busan",2022,"co","Good",365
"Busan",2022,"no2","Good",364
"Busan",2022,"no2","Moderate",1
"Busan",2022,"o3","Good",266
"Busan",2022,"o3","Moderate",96
"Busan",2022,"o3","Unhealthy for Sensitive Groups",3
"Busan",2022,"pm10","Good",329
"Busan",2022,"pm10","Moderate",36
"Busan",2022,"pm25","Good",85
"Busan",2022,"pm25","Moderate",246
"Busan",2022,"pm25","Unhealthy for Sensitive Groups",33
"Busan",2022,"pm25","Unhealthy",1
"Busan",2022,"so2","Good",365
"Busan",2023,"co","Good",365
"Busan",2023,"no2","Good",363
"Busan",2023,"no2","Moderate",2
"Busan",2023,"o3","Good",283
"Busan",2023,"o3","Moderate",79
"Busan",2023,"o3","Unhealthy for Sensitive Groups",3
"Busan",2023,"pm10","Good",304
"Busan",2023,"pm10","Moderate",58
"Busan",2023,"pm10","Unhealthy",3
"Busan",2023,"pm25","Good",89
"Busan",2023,"pm25","Moderate",232
"Busan",2023,"pm25","Unhealthy for Sensitive Groups",40
"Busan",2023,"pm25","Unhealthy",4
"Busan",2023,"so2","Good",365
"Busan",2024,"co","Good",364
"Busan",2024,"no2","Good",359
"Busan",2024,"no2","Moderate",5
"Busan",2024,"o3","Good",285
"Busan",2024,"o3","Moderate",74
"Busan",2024,"o3","Unhealthy for Sensitive Groups",5
"Busan",2024,"pm10","Good",332
"Busan",2024,"pm10","Moderate",29
"Busan",2024,"pm10","Unhealthy",1
"Busan",2024,"pm10","Very Unhealthy",2
"Busan",2024,"pm25","Good",114
"Busan",2024,"pm25","Moderate",220
"Busan",2024,"pm25","Unhealthy for Sensitive Groups",29
"Busan",2024,"pm25","Unhealthy",2
"Busan",2024,"so2","Good",364
"Busan",2025,"co","Good",362
"Busan",2025,"no2","Good",361
"Busan",2025,"no2","Moderate",1
"Busan",2025,"o3","Good",252
"Busan",2025,"o3","Moderate",109
"Busan",2025,"o3","Unhealthy for Sensitive Groups",1
"Busan",2025,"pm10","Good",329
"Busan",2025,"pm10","Moderate",33
"Busan",2025,"pm25","Good",52
"Busan",2025,"pm25","Moderate",281
"Busan",2025,"pm25","Unhealthy for Sensitive Groups",28
"Busan",2025,"pm25","Unhealthy",1
"Busan",2025,"so2","Good",362
"Daegu",2014,"co","Good",362
"Daegu",2014,"no2","Good",288
"Daegu",2014,"no2","Moderate",74
"Daegu",2014,"o3","Good",273
"Daegu",2014,"o3","Moderate",87
"Daegu",2014,"o3","Unhealthy for Sensitive Groups",2
"Daegu",2014,"pm10","Good",165
"Daegu",2014,"pm10","Moderate",190
"Daegu",2014,"pm10","Unhealthy for Sensitive Groups",6
"Daegu",2014,"pm10","Unhealthy",1
"Daegu",2014,"so2","Good",362
"Daegu",2015,"co","Good",360
"Daegu",2015,"no2","Good",299
"Daegu",2015,"no2","Moderate",61
"Daegu",2015,"o3","Good",261
"Daegu",2015,"o3","Moderate",92
"Daegu",2015,"o3","Unhealthy for Sensitive Groups",1
"Daegu",2015,"pm10","Good",168
"Daegu",2015,"pm10","Moderate",188
"Daegu",2015,"pm10","Unhealthy for Sensitive Groups",3
"Daegu",2015,"pm10","Very Unhealthy",1
"Daegu",2015,"pm25","Good",10
"Daegu",2015,"pm25","Moderate",198
"Daegu",2015,"pm25","Unhealthy for Sensitive Groups",129
"Daegu",2015,"pm25","Unhealthy",23
"Daegu",2015,"so2","Good",360
"Daegu",2016,"co","Good",363
"Daegu",2016,"no2","Good",337
"Daegu",2016,"no2","Moderate",26
"Daegu",2016,"o3","Good",269
"Daegu",2016,"o3","Moderate",92
"Daegu",2016,"o3","Unhealthy for Sensitive Groups",2
"Daegu",2016,"pm10","Good",168
"Daegu",2016,"pm10","Moderate",191
"Daegu",2016,"pm10","Unhealthy for Sensitive Groups",3
"Daegu",2016,"pm10","Unhealthy",1
"Daegu",2016,"pm25","Good",7
"Daegu",2016,"pm25","Moderate",189
"Daegu",2016,"pm25","Unhealthy for Sensitive Groups",147
"Daegu",2016,"pm25","Unhealthy",19
"Daegu",2016,"so2","Good",363
"Daegu",2017,"co","Good",301
"Daegu",2017,"no2","Good",279
"Daegu",2017,"no2","Moderate",22
"Daegu",2017,"o3","Good",217
"Daegu",2017,"o3","Moderate",78
"Daegu",2017,"o3","Unhealthy for Sensitive Groups",6
"Daegu",2017,"pm10","Good",142
"Daegu",2017,"pm10","Moderate",157
"Daegu",2017,"pm10","Unhealthy for Sensitive Groups",2
"Daegu",2017,"pm25","Good",3
"Daegu",2017,"pm25","Moderate",161
"Daegu",2017,"pm25","Unhealthy for Sensitive Groups",125
"Daegu",2017,"pm25","Unhealthy",12
"Daegu",2017,"so2","Good",300
"Daegu",2018,"co","Good",362
"Daegu",2018,"no2","Good",346
"Daegu",2018,"no2","Moderate",16
"Daegu",2018,"o3","Good",280
"Daegu",2018,"o3","Moderate",75
"Daegu",2018,"o3","Unhealthy for Sensitive Groups",7
"Daegu",2018,"pm10","Good",221
"Daegu",2018,"pm10","Moderate",137
"Daegu",2018,"pm10","Unhealthy for Sensitive Groups",4
"Daegu",2018,"pm25","Good",35
"Daegu",2018,"pm25","Moderate",195
"Daegu",2018,"pm25","Unhealthy for Sensitive Groups",118
"Daegu",2018,"pm25","Unhealthy",15
"Daegu",2018,"so2","Good",362
"Daegu",2019,"co","Good",361
"Daegu",2019,"no2","Good",354
"Daegu",2019,"no2","Moderate",6
"Daegu",2019,"o3","Good",258
"Daegu",2019,"o3","Moderate",94
"Daegu",2019,"o3","Unhealthy for Sensitive Groups",8
"Daegu",2019,"pm10","Good",246
"Daegu",2019,"pm10","Moderate",114
"Daegu",2019,"pm25","Good",33
"Daegu",2019,"pm25","Moderate",220
"Daegu",2019,"pm25","Unhealthy for Sensitive Groups",92
"Daegu",2019,"pm25","Unhealthy",16
"Daegu",2019,"so2","Good",361
"Daegu",2020,"co","Good",364
"Daegu",2020,"no2","Good",345
"Daegu",2020,"no2","Moderate",19
"Daegu",2020,"o3","Good",297
"Daegu",2020,"o3","Moderate",63
"Daegu",2020,"o3","Unhealthy for Sensitive Groups",4
"Daegu",2020,"pm10","Good",294
"Daegu",2020,"pm10","Moderate",70
"Daegu",2020,"pm25","Good",43
"Daegu",2020,"pm25","Moderate",247
"Daegu",2020,"pm25","Unhealthy for Sensitive Groups",68
"Daegu",2020,"pm25","Unhealthy",5
"Daegu",2020,"so2","Good",364
"Daegu",2021,"co","Good",365
"Daegu",2021,"no2","Good",351
"Daegu",2021,"no2","Moderate",14
"Daegu",2021,"o3","Good",294
"Daegu",2021,"o3","Moderate",67
"Daegu",2021,"o3","Unhealthy for Sensitive Groups",4
"Daegu",2021,"pm10","Good",290
"Daegu",2021,"pm10","Moderate",73
"Daegu",2021,"pm10","Unhealthy for Sensitive Groups",1
"Daegu",2021,"pm10","Hazardous",1
"Daegu",2021,"pm25","Good",86
"Daegu",2021,"pm25","Moderate",225
"Daegu",2021,"pm25","Unhealthy for Sensitive Groups",50
"Daegu",2021,"pm25","Unhealthy",4
"Daegu",2021,"so2","Good",365
"Daegu",2022,"co","Good",365
"Daegu",2022,"no2","Good",354
"Daegu",2022,"no2","Moderate",11
"Daegu",2022,"o3","Good",283
"Daegu",2022,"o3","Moderate",79
"Daegu",2022,"o3","Unhealthy for Sensitive Groups",3
"Daegu",2022,"pm10","Good",313
"Daegu",2022,"pm10","Moderate",52
"Daegu",2022,"pm25","Good",92
"Daegu",2022,"pm25","Moderate",221
"Daegu",2022,"pm25","Unhealthy for Sensitive Groups",51
"Daegu",2022,"pm25","Unhealthy",1
"Daegu",2022,"so2","Good",365
"Daegu",2023,"co","Good",365
"Daegu",2023,"no2","Good",359
"Daegu",2023,"no2","Moderate",6
"Daegu",2023,"o3","Good",276
"Daegu",2023,"o3","Moderate",88
"Daegu",2023,"o3","Unhealthy for Sensitive Groups",1
"Daegu",2023,"pm10","Good",294
"Daegu",2023,"pm10","Moderate",67
"Daegu",2023,"pm10","Unhealthy for Sensitive Groups",2
"Daegu",2023,"pm10","Unhealthy",2
"Daegu",2023,"pm25","Good",93
"Daegu",2023,"pm25","Moderate",216
"Daegu",2023,"pm25","Unhealthy for Sensitive Groups",53
"Daegu",2023,"pm25","Unhealthy",3
"Daegu",2023,"so2","Good",365
"Daegu",2024,"co","Good",364
"Daegu",2024,"no2","Good",363
"Daegu",2024,"no2","Moderate",1
"Daegu",2024,"o3","Good",256
"Daegu",2024,"o3","Moderate",101
"Daegu",2024,"o3","Unhealthy for Sensitive Groups",7
"Daegu",2024,"pm10","Good",335
"Daegu",2024,"pm10","Moderate",26
"Daegu",2024,"pm10","Unhealthy for Sensitive Groups",3
"Daegu",2024,"pm25","Good",120
"Daegu",2024,"pm25","Moderate",223
"Daegu",2024,"pm25","Unhealthy for Sensitive Groups",22
"Daegu",2024,"so2","Good",364
"Daegu",2025,"co","Good",359
"Daegu",2025,"no2","Good",356
"Daegu",2025,"no2","Moderate",3
"Daegu",2025,"o3","Good",246
"Daegu",2025,"o3","Moderate",109
"Daegu",2025,"o3","Unhealthy for Sensitive Groups",4
"Daegu",2025,"pm10","Good",334
"Daegu",2025,"pm10","Moderate",25
"Daegu",2025,"pm25","Good",100
"Daegu",2025,"pm25","Moderate",235
"Daegu",2025,"pm25","Unhealthy for Sensitive Groups",22
"Daegu",2025,"pm25","Unhealthy",2
"Daegu",2025,"so2","Good",359
"Incheon",2014,"co","Good",362
"Incheon",2014,"no2","Good",220
"Incheon",2014,"no2","Moderate",141
"Incheon",2014,"no2","Unhealthy for Sensitive Groups",1
"Incheon",2014,"o3","Good",296
"Incheon",2014,"o3","Moderate",65
"Incheon",2014,"o3","Unhealthy for Sensitive Groups",1
"Incheon",2014,"pm10","Good",145
"Incheon",2014,"pm10","Moderate",209
"Incheon",2014,"pm10","Unhealthy for Sensitive Groups",8
"Incheon",2014,"so2","Good",362
"Incheon",2015,"co","Good",360
"Incheon",2015,"no2","Good",248
"Incheon",2015,"no2","Moderate",112
"Incheon",2015,"o3","Good",254
"Incheon",2015,"o3","Moderate",98
"Incheon",2015,"o3","Unhealthy for Sensitive Groups",2
"Incheon",2015,"pm10","Good",133
"Incheon",2015,"pm10","Moderate",218
"Incheon",2015,"pm10","Unhealthy for Sensitive Groups",7
"Incheon",2015,"pm10","Very Unhealthy",1
"Incheon",2015,"pm10","Hazardous",1
"Incheon",2015,"pm25","Good",8
"Incheon",2015,"pm25","Moderate",165
"Incheon",2015,"pm25","Unhealthy for Sensitive Groups",148
"Incheon",2015,"pm25","Unhealthy",39
"Incheon",2015,"so2","Good",360
"Incheon",2016,"co","Good",363
"Incheon",2016,"no2","Good",278
"Incheon",2016,"no2","Moderate",85
"Incheon",2016,"o3","Good",266
"Incheon",2016,"o3","Moderate",90
"Incheon",2016,"o3","Unhealthy for Sensitive Groups",7
"Incheon",2016,"pm10","Good",108
"Incheon",2016,"pm10","Moderate",251
"Incheon",2016,"pm10","Unhealthy for Sensitive Groups",2
"Incheon",2016,"pm10","Unhealthy",2
"Incheon",2016,"pm25","Good",17
"Incheon",2016,"pm25","Moderate",159
"Incheon",2016,"pm25","Unhealthy for Sensitive Groups",155
"Incheon",2016,"pm25","Unhealthy",31
"Incheon",2016,"so2","Good",363
"Incheon",2017,"co","Good",301
"Incheon",2017,"no2","Good",209
