"date","city","city_type","pm25","pm10","o3","no2","so2","co"
"2026/5/2","Busan","Coastal",76,44,85,23,6,5
"2026/5/3","Busan","Coastal",101,28,71,18,4,5
"2026/5/4","Busan","Coastal",75,32,47,12,6,3
"2026/5/5","Busan","Coastal",59,31,55,16,5,4
"2026/5/6","Busan","Coastal",68,30,57,22,4,3
"2026/5/7","Busan","Coastal",59,32,49,21,5,3
"2026/5/8","Busan","Coastal",68,38,43,13,6,3
"2026/5/9","Busan","Coastal",64,29,57,20,5,3
"2026/5/10","Busan","Coastal",66,33,64,23,5,3
"2026/5/11","Busan","Coastal",68,32,48,19,6,3
"2026/5/12","Busan","Coastal",66,28,50,25,6,3
"2026/5/13","Busan","Coastal",61,28,57,29,5,4
"2026/5/14","Busan","Coastal",66,NA,26,16,4,3
"2026/5/15","Busan","Coastal",57,NA,NA,NA,NA,NA
"2026/4/2","Busan","Coastal",85,42,66,20,6,4
"2026/4/3","Busan","Coastal",98,49,85,29,7,6
"2026/4/4","Busan","Coastal",107,33,53,18,5,15
"2026/4/5","Busan","Coastal",71,33,61,20,5,16
"2026/4/6","Busan","Coastal",77,52,56,24,4,10
"2026/4/7","Busan","Coastal",92,28,51,17,5,2
"2026/4/8","Busan","Coastal",60,32,71,25,6,3
"2026/4/9","Busan","Coastal",70,25,49,19,4,3
"2026/4/10","Busan","Coastal",53,42,58,13,5,4
"2026/4/11","Busan","Coastal",75,28,71,20,6,4
"2026/4/12","Busan","Coastal",70,37,64,27,6,4
"2026/4/13","Busan","Coastal",74,47,82,29,6,4
"2026/4/14","Busan","Coastal",93,48,55,20,6,4
"2026/4/15","Busan","Coastal",93,41,63,21,6,4
"2026/4/16","Busan","Coastal",82,39,65,13,6,3
"2026/4/17","Busan","Coastal",74,40,44,30,6,3
"2026/4/18","Busan","Coastal",80,24,46,26,5,4
"2026/4/19","Busan","Coastal",76,29,46,17,6,3
"2026/4/20","Busan","Coastal",75,34,50,26,5,4
"2026/4/21","Busan","Coastal",72,79,49,22,5,3
"2026/4/22","Busan","Coastal",90,59,43,32,7,4
"2026/4/23","Busan","Coastal",85,37,53,16,4,3
"2026/4/24","Busan","Coastal",80,34,59,15,5,3
"2026/4/25","Busan","Coastal",73,32,70,21,5,3
"2026/4/26","Busan","Coastal",78,34,46,30,7,4
"2026/4/27","Busan","Coastal",82,43,68,30,6,4
"2026/4/28","Busan","Coastal",81,42,64,25,5,4
"2026/4/29","Busan","Coastal",80,30,54,19,5,4
"2026/4/30","Busan","Coastal",72,19,47,16,4,3
"2026/5/1","Busan","Coastal",57,30,55,15,4,4
"2026/1/2","Busan","Coastal",41,19,30,11,6,5
"2026/1/3","Busan","Coastal",62,25,36,16,6,5
"2026/1/4","Busan","Coastal",69,43,40,19,6,6
"2026/1/5","Busan","Coastal",104,38,40,20,5,5
