"date","city","city_type","pm25","pm10","o3","no2","so2","co"
"2026/5/2","Seoul","Inland",69,64,73,15,5,6
"2026/5/3","Seoul","Inland",145,23,54,8,3,4
"2026/5/4","Seoul","Inland",63,25,49,10,3,3
"2026/5/5","Seoul","Inland",40,31,57,15,4,4
"2026/5/6","Seoul","Inland",55,28,62,18,4,4
"2026/5/7","Seoul","Inland",54,26,41,14,4,4
"2026/5/8","Seoul","Inland",58,30,45,9,3,3
"2026/5/9","Seoul","Inland",41,27,56,14,4,4
"2026/5/10","Seoul","Inland",44,23,67,13,4,3
"2026/5/11","Seoul","Inland",43,26,40,15,3,3
"2026/5/12","Seoul","Inland",44,24,51,14,3,4
"2026/5/13","Seoul","Inland",49,25,61,16,3,4
"2026/5/14","Seoul","Inland",51,22,31,15,3,4
"2026/5/15","Seoul","Inland",38,NA,NA,NA,NA,NA
"2026/4/2","Seoul","Inland",68,66,64,24,4,6
"2026/4/3","Seoul","Inland",122,65,64,24,4,6
"2026/4/4","Seoul","Inland",141,35,56,12,3,4
"2026/4/5","Seoul","Inland",75,47,53,12,3,5
"2026/4/6","Seoul","Inland",101,35,40,16,3,4
"2026/4/7","Seoul","Inland",66,31,40,13,4,3
"2026/4/8","Seoul","Inland",38,42,51,24,4,5
"2026/4/9","Seoul","Inland",73,25,30,30,3,5
"2026/4/10","Seoul","Inland",55,23,44,19,3,5
"2026/4/11","Seoul","Inland",54,47,57,17,3,6
"2026/4/12","Seoul","Inland",108,57,58,22,3,7
"2026/4/13","Seoul","Inland",121,49,58,33,4,6
"2026/4/14","Seoul","Inland",86,58,75,31,4,6
"2026/4/15","Seoul","Inland",94,68,75,30,5,7
"2026/4/16","Seoul","Inland",132,34,56,15,3,4
"2026/4/17","Seoul","Inland",57,41,55,21,3,4
"2026/4/18","Seoul","Inland",64,47,59,20,3,4
"2026/4/19","Seoul","Inland",71,60,95,20,4,5
"2026/4/20","Seoul","Inland",85,72,38,17,4,4
"2026/4/21","Seoul","Inland",73,91,45,16,4,3
"2026/4/22","Seoul","Inland",77,67,56,23,4,4
"2026/4/23","Seoul","Inland",67,42,48,14,3,3
"2026/4/24","Seoul","Inland",56,33,52,20,3,3
"2026/4/25","Seoul","Inland",51,43,69,24,4,5
"2026/4/26","Seoul","Inland",73,32,71,15,4,4
"2026/4/27","Seoul","Inland",59,41,58,21,4,4
"2026/4/28","Seoul","Inland",72,22,45,11,3,3
"2026/4/29","Seoul","Inland",48,26,48,14,3,4
"2026/4/30","Seoul","Inland",56,35,58,20,4,4
